N 4000
R 7000
Tp 1
Ts 4000
2676, 3756
4874, 9714
5079, 2578
7364, 6070
748, 1607
5931, 4916
4097, 4166
778, 7238
7051, 1710
7858, 9432
2650, 4495
8186, 250
6826, 1408
1699, 1956
8022, 7055
4361, 1687
471, 1302
5669, 1244
6522, 294
351, 7467
1551, 8675
3601, 3562
8525, 7340
8199, 1088
6724, 6597
4947, 4917
2090, 6835
2525, 4952
7655, 4819
295, 2732
8828, 5399
8078, 6832
910, 8782
7692, 4554
6817, 8591
7435, 511
6031, 7890
4532, 7137
6184, 7899
4997, 1926
675, 9907
3281, 3569
3778, 4389
3170, 8783
7107, 4962
4777, 2575
8339, 1394
326, 2047
6078, 6280
1347, 6928
1169, 736
3722, 4165
145, 1239
2488, 3597
2372, 9703
8457, 6523
5212, 2462
9266, 3006
3604, 8074
9437, 8386
7347, 9907
9103, 9730
8686, 7349
3334, 6231
746, 1096
5774, 1074
4399, 2366
9443, 9570
6392, 264
5952, 163
6854, 4533
3430, 3395
2548, 4856
9368, 2114
1798, 8405
4771, 7766
1723, 6201
235, 2183
3457, 8019
2289, 5869
3399, 7570
800, 2821
6637, 6380
7959, 5850
6520, 8279
4689, 4646
2995, 3192
224, 8804
6783, 6279
6632, 9344
682, 2603
6135, 2606
6573, 6711
6050, 5476
5744, 9040
5163, 6485
5336, 3930
9695, 9067
5905, 7774
5771, 4816
6950, 2186
5263, 2425
3693, 8549
1819, 9056
9008, 189
1350, 5836
6582, 3615
3725, 879
1136, 7330
3800, 3548
7423, 9025
5480, 5779
4402, 3267
6989, 7946
4669, 9545
5380, 6393
9558, 3923
9790, 210
5945, 3967
347, 812
5932, 1519
8789, 715
4732, 2886
8922, 8605
2902, 6814
4737, 803
8914, 9033
5261, 7434
3145, 9523
4271, 8293
3287, 544
4853, 9417
6123, 1511
3649, 36
6668, 2042
6549, 6747
3030, 2497
5802, 1199
9282, 7746
2560, 7435
6611, 7248
7536, 6269
3949, 5837
1853, 4974
6064, 6908
2120, 2272
6482, 6040
8371, 8691
2730, 1626
5613, 9108
7272, 6843
2956, 8274
2291, 9991
6249, 8542
75, 2554
9685, 7518
9516, 474
5178, 3566
7396, 8784
5756, 3461
1419, 5156
7182, 2719
3057, 3876
6993, 1756
7830, 7168
9510, 3524
6675, 8213
2885, 1861
5302, 3365
8822, 7835
5210, 8911
5437, 1930
1221, 3265
7795, 267
7275, 454
6111, 2993
9295, 9965
5379, 7286
1482, 9816
9715, 9335
7428, 3661
5728, 8665
3055, 9709
9506, 4167
3636, 8318
1109, 9993
7813, 8824
7546, 8402
7089, 1160
8159, 5766
5238, 9284
3401, 6534
7872, 4812
4860, 6490
9520, 9305
973, 4554
1224, 2405
1423, 8184
5938, 2118
601, 4429
5520, 3128
1465, 6799
3983, 4230
9842, 9915
8933, 9285
9489, 6661
7593, 5725
1710, 8602
4193, 3365
6029, 1134
7030, 6650
4787, 8534
1541, 9756
7862, 3172
6079, 8853
814, 3899
3455, 7222
4296, 6222
5899, 9343
601, 9625
9268, 5483
1310, 4411
3032, 7798
3730, 3679
3143, 8796
7530, 5526
1874, 5088
3594, 3954
4719, 3285
4714, 6289
5673, 9628
403, 4292
3525, 2971
8804, 2571
5167, 9494
2849, 8559
6499, 1245
5866, 380
3607, 3826
2362, 3737
4437, 869
4854, 4662
871, 1566
2773, 2960
955, 1110
8639, 4307
8134, 3314
7038, 589
7541, 9948
6433, 7995
5774, 8192
336, 6578
